Trending Percent,Response Score,City,Country,Public Health Capacity,Societal Strength,Economic Ability,Infrastructure,Collaborative Will,Spread Response,Treatment Response,Economic Response,Supply Chain Response
2.22001,74.0,Pohang,South Korea,0,0,0,0,0,94.0,55.0,,
2.21604,48.0,Ingolstadt,Germany,0,0,0,0,0,44.0,52.0,,
2.21532,45.0,Cozumel,Mexico,0,0,0,0,0,73.0,18.0,,
2.18219,68.0,Bhopal,India,22,56,35,78,67,83.0,75.0,29.0,72.0
2.18219,68.0,Gwalior,India,22,58,35,78,67,83.0,75.0,29.0,72.0
2.18219,68.0,Indore,India,22,55,35,78,67,83.0,75.0,29.0,72.0
2.18219,68.0,Jabalpur,India,22,58,35,78,67,83.0,75.0,29.0,72.0
2.18219,68.0,Ujjain,India,22,57,35,78,67,83.0,75.0,29.0,72.0
2.18192,50.0,Bacolod,Philippines,48,60,46,77,67,66.0,38.0,26.0,70.0
2.16195,36.0,Springfield,United States,71,76,81,94,58,17.0,34.0,31.0,72.0
2.14302,57.0,Stockholm,Sweden,69,72,89,94,58,23.0,75.0,60.0,76.0
2.10991,55.0,Vancouver,Canada,63,79,86,94,64,58.0,59.0,26.0,76.0
2.09759,40.0,Philadelphia,United States,72,79,82,94,58,21.0,44.0,33.0,72.0
2.08046,61.0,Peto,Mexico,0,0,0,0,0,66.0,56.0,,
2.07465,,Belen,Argentina,0,0,0,0,0,69.0,,,
2.07008,69.0,Nagano,Japan,87,79,76,94,65,72.0,69.0,53.0,77.0
2.06545,57.0,Ulm,Germany,0,0,0,0,0,45.0,69.0,,
2.05372,40.0,New Haven,United States,70,76,83,94,58,18.0,44.0,34.0,72.0
2.0522,45.0,Memphis,United States,72,76,80,94,58,16.0,67.0,29.0,72.0
2.04075,47.0,Little Rock,United States,73,78,82,94,58,16.0,73.0,32.0,72.0
2.03018,45.0,Tres Arroyos,Argentina,0,0,0,0,0,44.0,47.0,,
2.01363,44.0,Indianapolis,United States,72,76,82,94,58,16.0,62.0,33.0,72.0
2.01112,38.0,Guaymas,Mexico,0,0,0,0,0,54.0,21.0,,
2.00579,41.0,Tunuyan,Argentina,0,0,0,0,0,28.0,54.0,,
1.95821,39.0,Pereira,Colombia,56,63,55,88,50,22.0,41.0,39.0,62.0
1.94491,42.0,Rio Cuarto,Argentina,0,0,0,0,0,28.0,56.0,,
1.89955,43.0,Phoenix,United States,70,77,80,94,58,10.0,65.0,29.0,72.0
1.89638,52.0,Edmonton,Canada,63,79,89,94,64,36.0,65.0,32.0,76.0
